timestamp;q0;dq0;tau0;q1;dq1;tau1;q2;dq2;tau2;q3;dq3;tau3;q4;dq4;tau4;q5;dq5;tau5;q6;dq6;tau6;q7;dq7;tau7;q8;dq8;tau8;q9;dq9;tau9;q10;dq10;tau10;q11;dq11;tau11;ff0;ff1;ff2;ff3;px0;py0;pz0;px1;py1;pz1;px2;py2;pz2;px3;py3;pz3
1758267957.348468542099;0.142425;-0.000563;0.617188;0.813799;-0.003961;0.441406;-1.638579;-0.010447;5.824219;-0.050866;0.004593;-1.035156;0.847044;-0.002589;0.269531;-1.599421;0.004606;3.632812;0.067640;-0.014513;1.183594;0.857036;-0.020724;-0.023438;-1.625015;0.005157;5.785156;0.026584;-0.000908;-1.925781;0.770926;-0.007779;0.714844;-1.551865;-0.000433;3.558594;369;143;320;150;0.189691;-0.084656;-0.299260;0.174052;0.111568;-0.300237;-0.201158;-0.106769;-0.297402;-0.186590;0.134822;-0.301816
1758267957.368816137314;0.142425;-0.000598;0.566406;0.813860;0.014435;0.441406;-1.638539;0.006874;5.675781;-0.050866;0.003426;-1.085938;0.847044;0.004684;0.246094;-1.599421;0.000031;3.632812;0.067701;-0.000512;1.160156;0.857036;-0.005064;-0.121094;-1.625015;0.000346;5.859375;0.026584;-0.010994;-1.953125;0.770987;0.012557;0.691406;-1.551865;-0.000236;3.671875;369;143;320;149;0.189697;-0.084656;-0.299254;0.174052;0.111568;-0.300237;-0.201158;-0.106769;-0.297402;-0.186596;0.134822;-0.301822
1758267957.387993097305;0.142425;0.000286;0.492188;0.813799;-0.007229;0.542969;-1.638579;-0.006472;5.710938;-0.050927;-0.010985;-1.085938;0.847105;0.012617;0.343750;-1.599421;-0.000081;3.746094;0.067640;-0.016551;1.183594;0.857096;0.010414;-0.070312;-1.625015;0.000149;5.710938;0.026644;0.002563;-1.953125;0.770987;0.001225;0.566406;-1.551865;-0.003887;3.671875;369;143;320;150;0.189691;-0.084637;-0.299262;0.174035;0.111550;-0.300240;-0.201176;-0.106769;-0.297401;-0.186596;0.134804;-0.301828
1758267957.408086299896;0.142425;-0.008914;0.617188;0.813799;-0.005512;0.492188;-1.638579;-0.000433;5.675781;-0.050927;-0.008553;-1.035156;0.847044;-0.003562;0.269531;-1.599421;-0.000076;3.632812;0.067701;0.000817;1.085938;0.857096;0.002408;0.000000;-1.625015;0.005458;5.785156;0.026584;-0.003457;-1.953125;0.770987;0.002671;0.492188;-1.551824;0.007707;3.632812;369;143;320;150;0.189697;-0.084656;-0.299254;0.174052;0.111568;-0.300237;-0.201158;-0.106769;-0.297402;-0.186596;0.134804;-0.301828
1758267957.428008794785;0.142425;-0.004716;0.566406;0.813860;0.008865;0.441406;-1.638579;-0.002589;5.636719;-0.050927;-0.010649;-1.136719;0.847044;-0.001594;0.218750;-1.599421;-0.000030;3.597656;0.067701;-0.005328;1.183594;0.857096;-0.005830;-0.046875;-1.625015;0.004393;5.710938;0.026584;-0.010054;-1.925781;0.770987;0.002752;0.765625;-1.551865;-0.000689;3.707031;369;143;320;150;0.189697;-0.084656;-0.299254;0.174052;0.111568;-0.300237;-0.201170;-0.106769;-0.297395;-0.186596;0.134804;-0.301828
1758267957.448065757751;0.142486;0.000478;0.617188;0.813799;-0.007256;0.417969;-1.638579;-0.002300;5.675781;-0.050927;-0.016722;-1.062500;0.847044;-0.004705;0.269531;-1.599421;-0.003775;3.707031;0.067701;-0.001640;1.109375;0.857096;0.001538;-0.144531;-1.625056;-0.012873;5.710938;0.026584;-0.015143;-1.828125;0.770987;0.000985;0.589844;-1.551865;-0.001844;3.707031;369;143;320;150;0.189673;-0.084637;-0.299262;0.174052;0.111550;-0.300241;-0.201152;-0.106769;-0.297396;-0.186596;0.134804;-0.301828
1758267957.468358993530;0.142486;0.013064;0.617188;0.813799;-0.005009;0.468750;-1.638579;-0.001686;5.527344;-0.050866;0.000757;-1.109375;0.847044;-0.013154;0.343750;-1.599421;0.000036;3.597656;0.067761;0.006628;1.109375;0.857096;-0.001809;-0.070312;-1.625015;0.004405;5.675781;0.026644;0.014615;-1.828125;0.770987;-0.000822;0.691406;-1.551824;0.005343;3.968750;369;143;319;150;0.189691;-0.084637;-0.299262;0.174052;0.111568;-0.300237;-0.201158;-0.106769;-0.297402;-0.186602;0.134804;-0.301834
1758267957.488110780716;0.142486;-0.000511;0.617188;0.813799;-0.000485;0.394531;-1.638579;-0.000271;5.675781;-0.050866;-0.000295;-1.085938;0.847044;-0.006175;0.218750;-1.599421;0.002227;3.484375;0.067701;-0.001581;1.210938;0.857157;0.014416;0.000000;-1.625015;-0.000096;5.785156;0.026584;-0.004576;-1.925781;0.770987;-0.000162;0.515625;-1.551824;0.000777;3.632812;369;143;320;150;0.189697;-0.084656;-0.299254;0.174035;0.111569;-0.300236;-0.201176;-0.106751;-0.297405;-0.186615;0.134822;-0.301822
1758267957.508146286011;0.142486;0.000271;0.664062;0.813860;0.014764;0.468750;-1.638539;0.008866;5.675781;-0.050866;-0.013652;-1.062500;0.847105;0.004396;0.292969;-1.599421;-0.003890;3.894531;0.067640;-0.002559;1.085938;0.857157;0.013367;-0.121094;-1.625015;0.000637;5.859375;0.026584;-0.001491;-1.851562;0.770987;-0.000616;0.691406;-1.551824;0.000577;3.523438;369;143;319;150;0.189697;-0.084656;-0.299254;0.174052;0.111568;-0.300237;-0.201158;-0.106787;-0.297398;-0.186602;0.134804;-0.301834
1758267957.528242111206;0.142486;0.010221;0.542969;0.813799;-0.007150;0.468750;-1.638579;0.000780;5.710938;-0.050806;0.004833;-1.035156;0.847105;0.000964;0.218750;-1.599421;0.000086;3.632812;0.067640;-0.008507;1.109375;0.857096;-0.005993;-0.121094;-1.625015;0.005021;5.785156;0.026584;-0.000457;-2.000000;0.771048;0.011428;0.640625;-1.551824;-0.000706;3.707031;370;143;319;149;0.189697;-0.084638;-0.299256;0.174035;0.111587;-0.300232;-0.201158;-0.106769;-0.297402;-0.186602;0.134804;-0.301834
1758267957.548132181168;0.142486;0.004923;0.691406;0.813799;-0.002920;0.441406;-1.638539;0.007250;5.675781;-0.050806;0.001714;-1.035156;0.847105;0.004598;0.292969;-1.599421;-0.000025;3.671875;0.067761;0.002977;1.109375;0.857096;-0.006069;-0.046875;-1.625015;0.000013;5.750000;0.026584;-0.002214;-1.851562;0.770926;-0.007746;0.664062;-1.551824;-0.000048;3.597656;369;143;319;150;0.189679;-0.084656;-0.299254;0.174035;0.111587;-0.300232;-0.201158;-0.106751;-0.297406;-0.186596;0.134822;-0.301822
1758267957.568712234497;0.142486;0.010232;0.566406;0.813799;-0.014217;0.441406;-1.638579;-0.004659;5.750000;-0.050806;0.006201;-1.085938;0.847044;-0.009794;0.195312;-1.599421;0.000045;3.597656;0.067701;0.002890;1.109375;0.857096;-0.006711;0.046875;-1.625015;0.001796;5.824219;0.026584;-0.001145;-1.976562;0.770987;-0.001198;0.664062;-1.551865;-0.006308;3.855469;370;143;320;149;0.189679;-0.084638;-0.299256;0.174035;0.111587;-0.300232;-0.201152;-0.106787;-0.297392;-0.186602;0.134804;-0.301834
1758267957.588655948639;0.142547;0.017159;0.617188;0.813799;-0.006426;0.468750;-1.638579;-0.000290;5.675781;-0.050806;0.002186;-1.109375;0.847105;-0.007326;0.269531;-1.599380;0.006757;3.523438;0.067701;-0.000107;1.160156;0.857157;0.008043;-0.121094;-1.625015;-0.003650;5.750000;0.026644;0.014406;-2.000000;0.770987;0.001163;0.765625;-1.551824;0.000368;3.671875;370;143;319;149;0.189697;-0.084638;-0.299256;0.174028;0.111586;-0.300238;-0.201176;-0.106769;-0.297401;-0.186621;0.134822;-0.301829
1758267957.608465909958;0.142486;0.000725;0.566406;0.813860;0.006885;0.417969;-1.638539;0.010313;5.636719;-0.050806;-0.002569;-1.011719;0.847105;-0.001970;0.144531;-1.599421;-0.000067;3.523438;0.067761;0.008120;1.136719;0.857096;0.000960;-0.070312;-1.625056;-0.010330;5.824219;0.026584;-0.004846;-1.902344;0.770987;-0.005269;0.691406;-1.551824;0.000438;3.707031;369;142;319;150;0.189697;-0.084656;-0.299254;0.174035;0.111587;-0.300232;-0.201158;-0.106751;-0.297406;-0.186596;0.134804;-0.301828
1758267957.628442764282;0.142486;-0.001503;0.691406;0.813799;-0.003093;0.417969;-1.638579;-0.000054;5.562500;-0.050806;0.000809;-1.109375;0.847165;0.017872;0.171875;-1.599421;-0.001685;3.632812;0.067701;-0.000825;1.183594;0.857096;-0.009520;-0.046875;-1.625015;0.000076;5.636719;0.026644;0.006556;-1.925781;0.770987;0.000303;0.617188;-1.551824;0.006622;3.781250;369;142;320;149;0.189679;-0.084638;-0.299256;0.174028;0.111586;-0.300238;-0.201176;-0.106769;-0.297401;-0.186621;0.134804;-0.301834
